,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44,Continent Name
690,Panama,PAN,2004,22.69,1628444,1614867,3243311,24.3,0.743,,63.387,42.691,4629.02931602921,48.24357052314522,North America
691,Peru,PER,2004,22.278,13925077,13968835,27893911,22.8,0.69,,74.644,59.649,2393.66589710452,47.78024966936223,South America
692,Philippines,PHL,2004,27.466,42802430,41805071,84607501,20.7,0.657,,45.795,44.74,1122.85552182107,46.19174669025206,Asia
693,Papua New Guinea,PNG,2004,32.9,3281496,3011670,6293166,18.9,0.461,,13.127,61.395,624.03532132549,48.127168647295335,Oceania
694,Poland,POL,2004,9.3,18533816,19648406,38182222,35.4,0.809,,61.564,38.125,6681.30975087388,42.61474500066222,Europe
695,Portugal,PRT,2004,10.4,5046015,5437846,10483861,38.1,0.805,,56.907,50.396,18064.1580932987,41.26119708849308,Europe
696,Paraguay,PRY,2004,24.443,2733019,2683305,5416324,20.0,0.662,,57.305,52.126,1776.93225816866,46.250892090164925,South America
697,Qatar,QAT,2004,16.861,522707,255237,777943,29.9,0.822,,97.09,44.583,40792.2764702117,54.68642869176494,Asia
698,Romania,ROU,2004,10.1,10381596,11070152,21451748,35.2,0.742,,53.043,45.731,3494.99056448955,42.91982929487676,Europe
699,Rwanda,RWA,2004,39.889,4224817,4567035,8791853,16.6,0.406,,16.908,47.09,270.323307927217,45.29846549254981,Africa
700,Saudi Arabia,SAU,2004,23.8,13489705,10172103,23661808,23.0,0.77,,80.754,15.144,10935.0165899837,49.30272530665488,Asia
701,Sudan,SDN,2004,36.338,14469105,14362444,28831550,16.6,0.441,,32.707,22.969,737.122802734375,43.93838040592598,Africa
702,Senegal,SEN,2004,38.354,5267939,5430752,10698691,16.8,0.412,,41.306,29.853,941.873792468596,43.99816600001559,Africa
703,Singapore,SGP,2004,10.3,2106721,2059943,4166664,35.0,0.851,,100.0,49.685,27608.080013423,49.32552335025632,Asia
704,Solomon Islands,SLB,2004,34.117,242852,228933,471785,17.7,0.507,,17.413,81.77,991.98855103909,45.42944879069421,Oceania
705,Sierra Leone,SLE,2004,42.271,2754047,2779282,5533329,16.8,0.364,,36.596,64.404,258.473168803963,42.1077458134871,Africa
706,El Salvador,SLV,2004,22.085,2896010,3139645,6035655,21.4,0.636,,61.107,42.779,2273.95550275819,46.25088186721747,North America
707,Serbia,SRB,2004,10.5,3597966,3865190,7463157,39.5,0.723,,53.661,34.919,3502.80292389567,38.98046507105201,Europe
708,Sao Tome and Principe,STP,2004,39.396,78656,79040,157697,17.3,0.525,,57.972,28.306,726.597740707697,44.91431607846609,Africa
709,Suriname,SUR,2004,22.676,257822,252750,510572,24.6,0.674,,66.737,30.78,2906.72527754218,47.67051962516246,South America
710,Slovenia,SVN,2004,9.0,976153,1020858,1997012,38.3,0.865,,51.308,49.452,17233.1385611279,42.21772099812875,Europe
711,Sweden,SWE,2004,11.2,4456884,4536646,8993531,39.0,0.9,,84.258,54.867,42821.6731423358,37.94751302850326,Europe
712,Eswatini,SWZ,2004,31.63,512898,552866,1065764,17.1,0.444,,22.166,32.416,2599.15214954166,46.35001971544646,Africa
713,Chad,TCD,2004,50.29,4800259,4813244,9613503,14.6,0.325,,21.768,57.349,460.067018320577,40.726057104106914,Africa
714,Togo,TGO,2004,37.659,2777186,2788032,5565218,17.5,0.459,,34.724,53.028,406.092358852601,44.17969377682896,Africa
715,Thailand,THA,2004,12.698,32138214,33172952,65311166,31.8,0.697,,36.169,64.371,2647.26073263886,49.355600008103,Asia
716,Tajikistan,TJK,2004,28.833,3360112,3441092,6801204,18.2,0.606,,26.508,27.663,305.266043550168,47.74504721175716,Asia
717,Tonga,TON,2004,29.347,53323,51713,105036,19.7,0.702,,23.127,41.401,2195.98639734304,43.942528957902326,Oceania
718,Trinidad and Tobago,TTO,2004,14.892,673168,688004,1361172,27.8,0.752,,55.155,45.299,9756.50037102982,51.23800152324693,North America
719,Tunisia,TUN,2004,16.754,5141667,5150557,10292225,25.3,0.687,,64.95,19.806,3029.84876850628,52.10839332522684,Africa
720,Tanzania,TZA,2004,41.96,18943000,19417879,38360879,16.4,0.436,,24.223,82.778,447.589752197266,42.85614561713973,Africa
721,Uganda,UGA,2004,46.68,13308219,13837865,27146084,13.8,0.444,,16.507,62.206,292.472665588666,40.52306479359356,Africa
722,Ukraine,UKR,2004,9.0,21919976,25531650,47451626,37.8,0.74,,67.597,48.348,1416.60375976563,41.47895250965319,Europe
723,Uruguay,URY,2004,15.075,1598595,1715206,3313801,31.6,0.77,,93.078,40.977,4130.1001146777,40.913085924689504,South America
724,United States,USA,2004,14.0,144210567,148594732,292805298,34.9,0.898,,79.757,54.945,41724.6316287624,41.984469418211,North America
725,Uzbekistan,UZB,2004,20.9,12915830,12948519,25864350,21.5,0.634,,48.054,42.383,465.119886944025,48.81776285133901,Asia
726,Samoa,WSM,2004,29.347,97341,90732,188073,18.8,0.698,,21.457,38.636,2168.02818637954,42.03313053828858,Oceania
727,South Africa,ZAF,2004,21.261,23176582,25379489,48556071,22.0,0.63,,58.993,40.696,5268.27857621702,49.67508999097653,Africa
728,Zambia,ZMB,2004,44.349,5423615,5764425,11188040,15.0,0.459,,36.43,44.525,556.050051613635,43.51185937886256,Africa
729,Zimbabwe,ZWE,2004,35.45,5755027,6405855,12160881,17.3,0.446,,34.294,58.119,477.399491040164,47.73427182899638,Africa
730,Afghanistan,AFG,2005,45.263,12302104,12109086,24411191,14.2,0.4,46.15192895,22.703,14.361,254.115274305561,39.69688133357048,Asia
731,Angola,AGO,2005,46.944,9564193,9886765,19450959,15.9,0.447,28.31636067,56.0,73.355,1900.72381643441,42.12143709292172,Africa
732,Albania,ALB,2005,13.235,1497909,1513578,3011487,29.1,0.711,22.16948971,46.731,39.392,2673.78781583529,45.1163457456894,Europe
733,United Arab Emirates,ARE,2005,15.206,2955416,1325578,4280993,27.8,0.822,43.18399077,82.262,34.806,42190.5543794633,61.64701799781605,Asia
734,Argentina,ARG,2005,18.353,19279145,19791355,39070501,27.7,0.802,13.29202423,90.031,42.417,5086.62776073134,42.97757783638364,South America
735,Armenia,ARM,2005,13.033,1424136,1623111,3047246,30.1,0.707,31.92346789,63.938,48.45,1608.16340758242,46.83618274911044,Asia
736,Australia,AUS,2005,12.8,10017910,10158934,20176844,35.5,0.911,6.904730947,84.582,53.985,34479.7679298388,42.37903355035826,Oceania
737,Austria,AUT,2005,9.5,3999610,4228220,8227829,38.9,0.889,16.47804063,58.813,48.291,38417.4577857677,41.06438296319301,Europe
738,Azerbaijan,AZE,2005,16.9,4069677,4322172,8391850,26.0,0.672,23.1507772,52.389,58.247,1578.36733030667,51.95915254174565,Asia
739,Burundi,BDI,2005,46.03,3644928,3743946,7388874,15.7,0.338,33.64156521,9.375,79.89,151.188541005904,43.201771606748615,Africa
740,Belgium,BEL,2005,11.4,5128227,5350390,10478617,39.1,0.902,15.83183972,97.403,41.348,36809.7013403619,39.12788275183649,Europe
741,Benin,BEN,2005,40.926,4050781,4098638,8149419,16.5,0.457,41.76793893,40.543,66.228,805.904685277445,42.57907138908092,Africa
742,Burkina Faso,BFA,2005,44.219,6876721,6999405,13876127,16.0,0.331,54.9070878,21.537,59.127,442.944430628899,42.34661072286782,Africa
743,Bangladesh,BGD,2005,25.509,71337878,69574712,140912590,21.0,0.518,55.06194439,26.809,27.001,492.808648889577,48.64803392933921,Asia
744,Bulgaria,BGR,2005,9.3,3691351,3967621,7658972,40.0,0.762,23.85248605,70.584,40.053,3899.82596332878,39.67560600800604,Europe
745,Bahrain,BHR,2005,19.911,545191,356731,901921,26.7,0.803,66.59652745,88.422,37.58,17705.235163895,55.74782644040811,Asia
746,Bosnia and Herzegovina,BIH,2005,9.582,1997892,2096405,4094297,35.1,0.691,35.95591128,43.965,20.361,2741.08017482431,44.13127333012308,Europe
747,Belarus,BLR,2005,9.3,4489280,5174635,9663915,37.0,0.75,21.00241299,72.354,51.187,3126.07176665248,42.4397970103444,Europe
748,Belize,BLZ,2005,26.673,140947,139428,280375,19.6,0.664,21.00124164,45.313,34.553,5236.36542558777,47.664385919614425,North America
749,Bolivia,BOL,2005,27.424,4731985,4645403,9377388,20.3,0.635,27.56278704,64.17,58.246,1018.31372502967,45.22206633332632,South America
750,Brazil,BRA,2005,17.335,92281701,94515633,186797334,26.1,0.698,14.56811401,82.834,47.822,4773.26855132261,49.099051947835214,South America
751,Barbados,BRB,2005,13.371,128828,140649,269477,34.0,0.776,19.76708368,32.841,57.541,14173.7513776686,44.0675013686553,North America
752,Botswana,BWA,2005,28.404,924057,968750,1892807,19.8,0.604,24.43023197,55.944,40.182,5240.316159068,50.35623225806456,Africa
753,Central African Republic,CAF,2005,42.633,2113131,2095704,4208834,15.9,0.342,41.7241462,38.069,59.423,317.877677935844,43.16684111087276,Africa
754,Canada,CAN,2005,10.7,15980635,16263117,32243753,37.6,0.903,9.020255828,80.122,57.672,36382.5079164537,42.01720682297194,North America
755,Switzerland,CHE,2005,9.8,3642259,3794856,7437115,39.2,0.905,13.06616084,73.478,56.309,56242.8933645639,40.87612028934998,Europe
756,Chile,CHL,2005,14.169,8028913,8146398,16175311,29.9,0.795,21.10676982,86.783,35.228,7560.54367123892,46.46544684322118,South America
757,China,CHN,2005,12.4,667008138,636711861,1303720000,31.7,0.638,51.55204637,42.522,64.575,1753.41419162417,51.36371201552222,Asia
758,Ivory Coast,CIV,2005,41.602,9579903,9390312,18970215,16.2,0.456,56.69825521,45.234,47.872,1267.08731129988,44.21980334625722,Africa
759,Cameroon,CMR,2005,41.088,8583601,8691569,17275171,16.4,0.475,61.29110011,48.541,74.481,1129.35797897075,43.24253519459292,Africa
760,Colombia,COL,2005,19.265,20920388,21300552,42220940,24.5,0.696,23.55652816,76.024,43.734,3448.53832308589,48.50593778039179,South America
761,Comoros,COM,2005,34.515,294921,297762,592683,16.1,0.488,17.37458137,27.875,30.828,1103.19541672121,42.4160194786113,Africa
762,Costa Rica,CRI,2005,16.99,2170068,2145820,4315887,26.2,0.74,18.192241,65.672,40.379,4643.45856992587,48.35711950609079,North America
763,Cuba,CUB,2005,10.446,5625118,5620997,11246114,34.7,0.741,19.00076003,76.134,38.091,3791.87300608904,47.31143312400211,North America
764,Cyprus,CYP,2005,11.882,521680,515381,1037062,31.6,0.834,17.96776089,68.268,49.511,24959.259765625,47.31116658242485,Asia
765,Czechia,CZE,2005,10.0,4989584,5221632,10211216,37.8,0.844,20.87395739,73.602,45.676,13430.6698955613,41.643095891979705,Europe
766,Germany,DEU,2005,8.3,40147180,42322242,82469422,41.2,0.914,15.08202344,75.98,45.578,34520.2396492496,38.8496938421843,Europe
767,Djibouti,DJI,2005,30.226,413536,417325,830861,19.8,0.405,39.76661984,76.761,10.169,852.890188282475,46.831789574325065,Africa
768,Denmark,DNK,2005,11.9,2682791,2736640,5419432,38.5,0.911,13.09783363,85.856,57.205,48799.8256011275,38.6986169132336,Europe
769,Dominican Republic,DOM,2005,22.485,4647506,4517262,9164768,22.6,0.674,17.47346106,67.37,35.677,3903.8152066628,47.82595653894363,North America
770,Algeria,DZA,2005,21.166,16806416,16150274,32956690,23.1,0.685,34.00185152,63.83,10.869,3131.32818989681,52.86968032648604,Africa
771,Ecuador,ECU,2005,23.2,6893501,6876511,13770012,22.4,0.715,19.62900732,61.711,49.445,3014.3100093159,46.84097066084817,South America
772,Spain,ESP,2005,10.6,21516423,22136732,43653155,37.7,0.85,12.34932779,77.263,40.566,26429.1509449319,43.68910494121133,Europe
773,Estonia,EST,2005,10.6,629862,724912,1354775,38.3,0.839,8.36496091,68.735,49.832,10412.6443137966,39.49293132051003,Europe
774,Ethiopia,ETH,2005,40.997,38961005,38508936,77469940,15.4,0.346,31.47408068,15.7,72.071,160.076791772058,41.2500231115188,Africa
775,Finland,FIN,2005,11.0,2567217,2678879,5246096,39.9,0.905,7.114175404,82.905,51.902,39054.8504423825,36.97754945562786,Europe
776,Fiji,FJI,2005,23.796,445918,429005,874923,22.6,0.702,11.098569,49.871,33.046,3406.47559239037,48.27309705015093,Oceania
777,France,FRA,2005,12.8,30619951,32568445,63188395,38.0,0.866,14.89539999,77.13,45.775,34768.1759037525,39.0216118918719,Europe
778,Gabon,GAB,2005,32.722,730264,728089,1458353,19.0,0.652,34.34349626,82.452,30.014,6570.96326530919,44.74995501923528,Africa
779,United Kingdom,GBR,2005,12.0,29533818,30867389,60401206,37.7,0.895,13.33739937,79.915,53.022,42104.7884375024,40.81885605194089,Europe
780,Georgia,GEO,2005,12.483,1818897,2083571,3902469,33.5,0.738,16.51679403,53.605,48.914,1642.78359414797,43.64537279078471,Asia
781,Ghana,GHA,2005,34.885,11190399,11306552,22496951,18.3,0.533,52.84830506,47.308,66.167,477.601092763442,46.26663371821927,Africa
782,Guinea,GIN,2005,39.921,4479878,4660236,9140114,15.9,0.387,50.87115318,32.257,57.008,321.338633269515,40.85509832549252,Africa
783,Guinea-Bissau,GNB,2005,41.358,674317,705396,1379713,16.7,0.404,52.66763856,38.157,47.035,425.471888739684,43.95793284906633,Africa
784,Equatorial Guinea,GNQ,2005,39.948,445146,419580,864726,18.2,0.556,40.2537776,57.74,45.92,9502.85881614782,43.34281502596049,Africa
785,Greece,GRC,2005,9.8,5461841,5525472,10987314,38.8,0.855,19.15743208,74.452,35.864,22560.1472939077,41.85402898314229,Europe
786,Guatemala,GTM,2005,30.438,6426631,6521662,12948292,17.5,0.574,29.198214,46.913,40.529,2068.48820631493,44.13499260234882,North America
787,Guyana,GUY,2005,22.994,379057,380652,759709,22.0,0.622,22.24598196,27.822,30.823,1085.78488650781,46.571216529511815,South America
788,Honduras,HND,2005,29.314,3825041,3739573,7564613,18.2,0.577,25.50601519,48.585,38.658,1289.82311409217,46.15393871893109,North America
789,Croatia,HRV,2005,9.563,2068225,2241921,4310145,39.3,0.802,23.07265013,54.315,36.667,10446.3614889222,38.77638885151587,Europe
790,Haiti,HTI,2005,29.018,4526364,4585537,9111900,19.2,0.49,18.63563931,42.638,48.809,771.535002677952,45.57908327629706,North America
791,Hungary,HUN,2005,9.7,4789543,5297522,10087065,37.9,0.806,20.28580736,66.365,39.795,11223.3993032598,39.28541657727537,Europe
792,Indonesia,IDN,2005,20.735,115167468,113637675,228805144,25.3,0.632,21.75442599,45.942,41.393,1249.39769359418,49.56694401937148,Asia
793,India,IND,2005,23.94,597477666,557161047,1154638713,22.6,0.534,70.80607699,29.235,27.435,710.509344848758,47.0344573038373,Asia
794,Ireland,IRL,2005,14.8,2075615,2084299,4159914,32.4,0.888,10.4600038,60.477,52.368,50933.0216095589,46.04952420432954,Europe
795,Iraq,IRQ,2005,34.006,14287950,14410735,28698684,17.5,0.606,50.85365062,68.766,10.608,1740.66833006213,44.742527011980926,Asia
796,Iceland,ISL,2005,14.4,149173,147560,296734,33.2,0.901,6.649553492,93.037,69.18,56794.8501588953,42.86120495304893,Europe
797,Israel,ISR,2005,20.8,3422076,3508024,6930100,27.7,0.866,23.26803051,91.518,48.844,21223.9355901939,42.85499707682092,Asia
798,Italy,ITA,2005,9.6,28085940,29883545,57969484,40.8,0.868,21.57351808,67.738,34.251,32055.0920757503,39.21397558938165,Europe
799,Jamaica,JAM,2005,18.016,1326570,1350293,2676863,23.5,0.69,15.37177139,52.811,51.283,4200.38895442653,49.43723325233854,North America
800,Jordan,JOR,2005,28.605,2928895,2749640,5678534,19.4,0.716,33.33893938,79.485,8.48,2216.9451815491,46.95013655426466,Asia
801,Japan,JPN,2005,8.4,62398129,65374871,127773000,42.4,0.889,12.05741833,85.978,46.29,37812.8950199948,36.678674860298585,Asia
802,Kazakhstan,KAZ,2005,18.42,7197692,7949338,15147029,27.7,0.739,17.53591329,56.463,58.457,3771.27895733845,47.82094597369966,Asia
803,Kenya,KEN,2005,38.502,17802747,18040263,35843010,16.4,0.516,23.2584201,21.675,68.513,522.776840246892,46.03900175956413,Africa
804,Cambodia,KHM,2005,25.191,6534657,6711926,13246583,20.0,0.499,29.35286761,19.174,67.951,475.069394255055,47.271994113761465,Asia
805,Kuwait,KWT,2005,22.085,1319953,915450,2235403,27.4,0.798,65.2862992,100.0,44.613,36144.9949458716,57.31017532361142,Asia
806,Lebanon,LBN,2005,18.034,2301063,2341982,4643044,25.0,0.737,28.8068316,86.627,18.545,4630.00921353301,48.65393927024205,Asia
807,Liberia,LBR,2005,41.482,1610373,1655945,3266318,17.5,0.437,51.11912488,46.051,70.173,290.541214909265,42.98240581661831,Africa
808,Libya,LBY,2005,23.648,2972825,2865160,5837986,22.5,0.735,43.8599594,77.08,24.805,8108.05260794233,54.49841291613505,Africa
809,Sri Lanka,LKA,2005,18.821,9688144,9985722,19673866,27.8,0.71,24.07469414,18.303,30.929,1240.51831220036,47.24916499532207,Asia
810,Lesotho,LSO,2005,28.778,966980,1010444,1977424,19.1,0.448,27.37260881,22.249,51.263,850.775315507556,46.56584305224087,Africa
811,Lithuania,LTU,2005,8.9,1532393,1790135,3322528,37.6,0.817,14.05574145,66.635,46.464,7854.76527867855,40.50412738444204,Europe
812,Luxembourg,LUX,2005,11.5,230296,234862,465158,37.2,0.884,12.52862468,86.598,43.665,80988.1376230858,42.17296090527966,Europe
813,Latvia,LVA,2005,9.8,1019762,1219037,2238799,38.9,0.808,17.02533531,68.0,45.633,7594.90238431362,39.47354570238452,Europe
814,Morocco,MAR,2005,21.398,15240243,15191659,30431902,23.0,0.567,32.57264648,55.174,22.61,2237.576171875,50.21882895677069,Africa
815,Moldova,MDA,2005,12.607,1368513,1520473,2888985,32.0,0.695,18.4986738,42.775,44.664,1034.39197746993,45.14998505408427,Europe
816,Madagascar,MDG,2005,38.015,9440960,9351211,18792171,16.5,0.469,17.76292144,28.814,81.226,311.793126649035,42.91262917711937,Africa
817,Maldives,MDV,2005,18.989,158562,148456,307018,20.4,0.649,13.30959933,33.75,33.928,3789.23201352259,53.03962116721448,Asia
818,Mexico,MEX,2005,21.9,51619299,53823103,105442402,23.3,0.733,23.14446696,76.308,39.58,8702.11448090478,48.53020039117962,North America
819,North Macedonia,MKD,2005,11.0,1019222,1017633,2036855,32.9,0.699,37.15307677,57.532,26.887,3072.67963241319,44.49480992181182,Europe
820,Mali,MLI,2005,47.996,6656944,6523607,13180551,15.5,0.366,59.6884795,32.06,59.58,473.995046803835,41.31778631054869,Africa
821,Malta,MLT,2005,9.6,200402,203432,403834,37.7,0.832,15.31761524,93.645,26.962,15888.1724565995,40.09291409076061,Europe
822,Myanmar,MMR,2005,21.25,23826893,23897578,47724471,24.2,0.46,36.57941224,27.946,55.991,251.170356995896,49.03928236913208,Asia
823,Montenegro,MNE,2005,12.0,297915,316347,614261,33.6,0.767,25.70762668,62.465,27.504,3674.6179242797,42.796898130747934,Europe
824,Mongolia,MNG,2005,18.673,1273074,1286180,2559255,22.7,0.658,25.01117947,62.494,51.976,986.018040837747,53.87109352069948,Asia
825,Mozambique,MOZ,2005,41.867,9838645,10372470,20211114,16.3,0.357,22.00218626,29.999,81.363,438.793472737165,42.07648708552541,Africa
826,Mauritania,MRT,2005,36.923,1496264,1516097,3012360,16.8,0.49,65.2745712,42.111,24.424,974.657585946703,43.3576292801942,Africa
827,Mauritius,MUS,2005,15.3,611903,616351,1228254,29.5,0.719,16.20307148,42.112,34.223,5282.90011111013,47.33205924585956,Africa
828,Malawi,MWI,2005,44.893,6170251,6585398,12755648,15.9,0.406,24.53315863,15.054,73.671,417.102263364075,41.877620760354965,Africa
829,Malaysia,MYS,2005,17.722,13271796,12651740,25923536,23.4,0.732,20.10216491,66.594,42.023,5536.83748306949,48.16445801130909,Asia
830,Namibia,NAM,2005,29.009,951218,1011646,1962865,18.4,0.555,24.55185999,36.632,37.146,3692.75260281301,46.479180227480654,Africa
831,Niger,NER,2005,50.63,7000404,6854818,13855221,14.8,0.298,79.28608804,16.242,66.862,316.365647620285,39.47259719168306,Africa
832,Nigeria,NGA,2005,43.075,70670683,69820038,140490722,17.0,0.469,67.47106169,39.074,54.769,1250.40691277354,42.55310386286879,Africa
833,Nicaragua,NIC,2005,25.204,2687501,2767177,5454678,19.5,0.588,23.06554667,55.935,37.704,1158.88129036183,48.0428790785699,North America
834,Netherlands,NLD,2005,11.5,8076039,8243829,16319868,38.1,0.899,15.30183547,82.63,51.802,41994.7135305232,40.24305400004286,Europe
835,Norway,NOR,2005,12.3,2293018,2330273,4623291,36.9,0.931,8.168736987,77.675,58.341,67047.1704558264,39.75953813677776,Europe
836,Nepal,NPL,2005,26.033,13098713,13186397,26285110,19.1,0.495,69.70727002,15.149,19.439,309.310420053588,44.46335492553425,Asia
837,New Zealand,NZL,2005,13.96,2025120,2108780,4133900,34.5,0.912,6.348300787,86.341,58.267,27751.0654708859,43.00649437354305,Oceania
838,Oman,OMN,2005,21.383,1433559,1081633,2515192,21.4,0.745,42.79003956,72.4,22.963,12357.7013911873,51.12313921490044,Asia
839,Pakistan,PAK,2005,32.867,89942008,84430090,174372098,17.9,0.484,55.20881643,33.982,18.255,832.751137517234,43.98360821361202,Asia
840,Panama,PAN,2005,22.333,1659586,1646282,3305868,24.6,0.749,16.00965098,63.682,43.384,4953.12997978141,48.12243588886961,North America
841,Peru,PER,2005,22.334,14057586,14089681,28147267,23.1,0.686,28.12519868,75.034,61.119,2702.23770075461,47.71672430755263,South America
842,Philippines,PHL,2005,27.019,43650124,42611126,86261250,20.8,0.658,26.98519517,45.71,45.296,1245.2865836997,46.17403327947733,Asia
843,Papua New Guinea,PNG,2005,32.507,3387691,3111127,6498818,19.1,0.466,14.99480834,13.109,59.116,748.735073405033,48.24989465232379,Oceania
844,Poland,POL,2005,9.5,18518319,19647126,38165445,35.6,0.815,26.83820327,61.452,38.67,8021.54789037388,42.44525586590965,Europe
845,Portugal,PRT,2005,10.4,5051464,5451866,10503330,38.5,0.806,10.95942529,57.522,50.522,18780.12751241,40.843914083941954,Europe
846,Paraguay,PRY,2005,24.047,2762367,2714511,5476878,20.4,0.664,14.87514828,57.633,52.19,1960.51476554933,46.53650325970318,South America
847,Qatar,QAT,2005,16.005,579378,269332,848710,29.6,0.827,82.72531438,97.396,45.249,52468.4456475056,55.01768260421597,Asia
848,Romania,ROU,2005,10.4,10321646,10998038,21319685,35.8,0.756,18.68745983,53.174,43.888,4618.00350802913,42.82784857859369,Europe
849,Rwanda,RWA,2005,39.462,4344019,4682280,9026299,16.8,0.422,35.81545959,16.912,47.208,325.050066322768,45.29774540418918,Africa
850,Saudi Arabia,SAU,2005,23.058,13900240,10497404,24397644,23.2,0.78,60.18568335,80.979,15.543,13462.7630489265,50.06253212996914,Asia
851,Sudan,SDN,2005,35.929,14811660,14728917,29540577,16.8,0.448,51.32188604,32.76,22.933,945.689697265625,44.120163616912144,Africa
852,Senegal,SEN,2005,38.418,5401974,5572083,10974057,16.9,0.419,56.80914644,41.714,29.387,1003.18719302616,44.13555038573541,Africa
853,Singapore,SGP,2005,10.2,2156125,2109638,4265762,35.3,0.875,16.01396045,100.0,50.48,29961.3172812732,48.96985100613388,Asia
854,Solomon Islands,SLB,2005,33.884,248157,234329,482486,17.8,0.512,11.02061012,17.832,81.625,1145.86655410897,45.57758536075352,Oceania
855,Sierra Leone,SLE,2005,41.71,2830690,2852644,5683334,16.9,0.372,49.70736055,36.919,63.403,286.28590628988,42.20758005555548,Africa
856,El Salvador,SLV,2005,21.261,2893341,3144476,6037817,21.7,0.641,24.81827804,61.648,43.053,2434.32353117029,46.3006310591385,North America
857,Serbia,SRB,2005,9.7,3586247,3854522,7440769,39.7,0.734,31.3759518,53.883,33.164,3720.47915467431,38.826598741866114,Europe
858,Sao Tome and Principe,STP,2005,39.075,80650,81031,161680,17.4,0.531,34.46843181,59.165,27.744,843.955111272836,44.8460764773758,Africa
859,Suriname,SUR,2005,22.271,260410,255810,516220,24.7,0.683,23.88703156,66.682,31.407,3474.12033122968,47.37392473696245,South America
860,Slovenia,SVN,2005,9.1,979493,1020982,2000474,38.7,0.869,21.12988842,51.533,49.165,18098.9085440003,41.885046507013925,Europe
861,Sweden,SWE,2005,11.2,4477573,4551999,9029572,39.2,0.902,7.30670874,84.319,54.455,43437.0631164776,38.13234782025578,Europe
862,Eswatini,SWZ,2005,31.59,515804,556082,1071886,17.3,0.446,23.11401387,22.038,32.254,2964.97248651359,46.70601341709808,Africa
863,Chad,TCD,2005,50.317,4999038,5005974,10005012,14.7,0.327,59.44666881,21.801,56.692,664.59765601918,40.92063212080525,Africa
864,Togo,TGO,2005,37.581,2851642,2859955,5711597,17.5,0.458,43.52693562,35.185,53.019,399.44747774864,44.24317865141237,Africa
865,Thailand,THA,2005,12.724,32378837,33442524,65821360,32.3,0.706,35.32246182,37.411,65.49,2876.24577293139,48.77851696807509,Asia
866,Tajikistan,TJK,2005,28.48,3429032,3500113,6929145,18.5,0.612,32.78807708,26.51,27.305,333.71393843865,48.10125388826789,Asia
867,Turkmenistan,TKM,2005,22.335,2408711,2477064,4885775,21.6,0.66,21.93514106,47.052,50.543,1658.67277890821,49.52231755013192,Asia
868,Tonga,TON,2005,29.13,53618,52015,105633,19.8,0.702,10.91209119,23.155,42.253,2478.42704686749,43.78064019994231,Oceania
869,Trinidad and Tobago,TTO,2005,14.903,676790,692285,1369075,28.2,0.758,19.3594652,54.967,46.752,11673.7815403674,50.90880201073256,North America
870,Tunisia,TUN,2005,16.883,5185241,5203104,10388344,25.7,0.694,31.66796588,65.237,20.071,3106.57663000034,52.131828628817374,Africa
871,Tanzania,TZA,2005,42.069,19465727,19973779,39439505,16.4,0.446,24.91499035,24.845,83.029,480.180053710938,42.83123996794093,Africa
872,Uganda,UGA,2005,45.989,13710476,14236112,27946588,13.8,0.454,36.4345178,16.96,63.157,330.602854382722,40.55566927262163,Africa
873,Ukraine,UKR,2005,9.0,21743359,25361812,47105171,37.9,0.743,18.99706651,67.79,49.07,1894.46008300781,41.36457456718104,Europe
874,Uruguay,URY,2005,15.103,1599620,1718045,3317665,31.8,0.768,9.082839158,93.319,42.307,5233.45717058668,40.80014178902711,South America
875,United States,USA,2005,14.0,145570277,149946323,295516599,35.1,0.9,10.91341302,79.928,55.23,44123.4070679055,41.64495946503863,North America
876,Uzbekistan,UZB,2005,20.4,13064209,13102791,26167000,21.8,0.639,31.30170584,48.537,42.548,546.776850185552,49.243422402407546,Asia
877,Vanuatu,VUT,2005,31.853,110376,107257,217632,18.1,0.578,12.48759874,23.099,59.902,1814.81782563854,46.19253844755328,Oceania
878,Samoa,WSM,2005,29.118,97490,91135,188626,18.9,0.701,11.55631281,21.218,38.515,2527.76283841797,41.90847693818547,Oceania
879,South Africa,ZAF,2005,21.913,23433293,25583854,49017147,22.3,0.632,27.03090776,59.536,40.858,5893.18707587233,49.99871012397114,Africa
880,Zambia,ZMB,2005,44.242,5617219,5947650,11564870,15.0,0.472,26.10704001,36.911,44.109,720.446504729389,43.62730291566391,Africa
881,Zimbabwe,ZWE,2005,34.947,5773926,6450827,12224753,17.3,0.448,23.60684227,34.11,58.004,470.783761438779,47.49970042600744,Africa
882,Afghanistan,AFG,2006,44.721,12828447,12614497,25442944,14.3,0.409,,22.907,14.196,274.015394322653,40.07096596594509,Asia
883,Angola,AGO,2006,46.643,9917959,10244381,20162340,15.9,0.459,,56.764,73.377,2597.96358469905,42.14226598257788,Africa
884,Albania,ALB,2006,12.539,1490629,1501918,2992547,29.7,0.718,,47.815,39.062,2972.74362094736,44.88469228942295,Europe
885,United Arab Emirates,ARE,2006,14.484,3428088,1470867,4898954,27.1,0.827,,82.648,35.752,45339.5851165809,63.975464810890415,Asia
886,Argentina,ARG,2006,18.194,19484104,19992747,39476851,28.0,0.814,,90.2,43.551,5890.97800169795,43.069199045033685,South America
