,Country Name,Country Code,Year,Birth Rate,Population_male,Population_female,Population_total,Median_age,Human Development Index,PM2.5_pollution,Urban population rate,Female_employment_rate,GDP per Capita,female_population_rate_15to44,Continent Name
43,Estonia,EST,2000,9.4,651122,745863,1396985,37.0,0.787,8.43278366,69.368,46.478,4070.60902410208,39.65728306997137,Europe
44,Ethiopia,ETH,2000,44.501,33605361,33426506,67031867,15.1,0.287,30.87949696,14.74,67.74,122.961659681414,40.4729049455543,Africa
45,Finland,FIN,2000,11.0,2526195,2650014,5176209,38.4,0.891,7.505004878,82.183,49.415,24345.9148217032,38.47928727923702,Europe
46,Fiji,FJI,2000,24.34,423305,409203,832509,21.1,0.681,10.99824794,47.908,35.401,2015.85749571271,48.30145429041335,Oceania
47,France,FRA,2000,13.3,29550671,31370713,60921384,36.8,0.844,16.07573118,75.871,43.086,22416.425417915,40.49392782937325,Europe
48,Gabon,GAB,2000,33.471,633381,639553,1272935,18.2,0.635,37.1754755,78.879,30.789,3991.15715141003,42.60675611969916,Africa
49,United Kingdom,GBR,2000,11.5,28695232,30197282,58892514,36.6,0.862,14.85608116,78.651,51.563,28280.926786099,40.68162239538328,Europe
50,Georgia,GEO,2000,11.979,1896863,2180268,4077131,32.4,0.702,17.21162364,52.638,49.375,749.908534993961,43.43037867016484,Asia
51,Ghana,GHA,2000,35.865,9759725,9905777,19665502,17.1,0.507,60.34547396,43.929,64.836,253.380293175761,45.410264131728425,Africa
52,Guinea,GIN,2000,41.642,4109599,4227368,8336967,16.3,0.345,53.0035338,30.869,60.551,359.286670018273,40.63231542652543,Africa
53,Equatorial Guinea,GNQ,2000,41.319,345748,339229,684977,17.9,0.512,46.84866156,49.092,45.973,1527.05637771592,42.14424474322658,Africa
54,Greece,GRC,2000,9.6,5383939,5421868,10805808,37.3,0.81,20.71409122,72.716,33.644,12072.9293569196,43.58061806904904,Europe
55,Guatemala,GTM,2000,34.505,5760216,5829545,11589761,16.7,0.55,35.86654107,45.332,40.01,1664.30774802438,43.30401966847981,North America
56,Guyana,GUY,2000,25.772,378495,380557,759051,21.2,0.577,26.43412436,28.694,30.057,938.893297983287,47.66979410416062,South America
57,Honduras,HND,2000,33.841,3364459,3292265,6656725,17.1,0.556,27.53958991,45.458,41.661,1079.6056663087,44.87375030962715,North America
58,Croatia,HRV,2000,9.8,2144720,2323582,4468302,37.9,0.759,23.65186739,53.428,36.651,4952.37775298931,40.16064673024268,Europe
59,Haiti,HTI,2000,31.836,4150198,4210027,8360225,18.3,0.47,19.58669508,35.6,51.325,814.997919701067,43.87134571821039,North America
60,Hungary,HUN,2000,9.6,4859206,5351765,10210971,37.5,0.773,21.3395071,64.575,39.039,4624.28165670295,39.89028989963143,Europe
